DUVIN,434222.00N,6700.00W
DUVNO,513852.00N,113407.00W
DUXAR,564616.00N,1292540.00W
DYSON,503437.00N,1143958.00W
EAGLE,531616.89N,0600027.03W
EBDOG,475927.00N,783851.00W
EBDUS,442923.00N,773731.00W
EBGUT,632917.00N,1143057.00W
EBLOG,445727.96N,0650354.01W
EBMAS,502114.00N,1114838.00W
EBNYR,454528.00N,752336.00W
EDTIN,592803.00N,1015522.00W
ELEKA,450103.96N,0650330.56W
ELERI,423428.00N,642324.00W
ELERO,511848.00N,114116.00W
ELIDI,50026.00N,1233655.00W
ELKIE,543240.00N,1204627.00W
ELLMA,584300.00N,0675600.00W
ELSON,5010.00N,972337.00W
ELTAX,515725.00N,1053542.00W
ELTEB,450231.68N,0644717.01W
ELTEX,565357.00N,12500.00W
ELUNA,53412.00N,1143710.00W
ELVEL,5100.00N,9000.00W
ELVUX,501045.00N,965255.00W
EMADI,445735.90N,0644556.78W
EMBRO,43534.00N,804731.00W
EMETO,492448.00N,1194727.00W
EMLOX,485254.00N,124812.00W
EMUDU,534614.00N,12309.00W
EPINE,554330.00N,1211643.00W
EPLED,663310.00N,11000.00W
EPLUR,515030.00N,1133521.00W
EPMAL,482234.00N,683550.00W
EPMAN,6600.00N,6000.00W
EPSEP,441823.00N,772332.00W
EPTIR,575424.00N,1022218.00W
EPTIV,5200.00N,13300.00W
EPVOT,535219.00N,942543.00W
ERI29,421646.08N,0805019.57W
ERI49,420954.99N,0812055.38W
ERRTH,421122.00N,81569.00W
ERVYN,493148.00N,117230.00W
ESVUP,43445.00N,805255.00W
ETCHL,43215.00N,812415.00W
ETMAT,485123.00N,8978.00W
EXPOS,520000N,0670000W
FADIM,60413.00N,1161524.00W
FANES,643460.00N,14100.00W
FANOL,452624.00N,752316.00W
FAREN,50958.00N,995231.00W
FARNS,504514.00N,1152345.00W
FASBO,492227.00N,1232249.00W
FASSA,58420.00N,6700.00W
FAXTO,49436.00N,1232937.00W
FC036,455225.39N,0663226.28W
FEDDY,61420.00N,6700.00W
FELKO,503424.00N,1194159.00W
FELTN,483954.00N,89536.00W
FENEL,502728.00N,1264520.00W
FERNO,513851.00N,925221.00W
FERRY,491130.00N,1223149.00W
FIGGI,541614.00N,1215914.00W
FILLE,51258.00N,112838.00W
FINBO,491632.00N,116132.00W
FINGL,424524.00N,811922.00W
FINGS,50150.00N,127340.00W
FINNI,4904.00N,574426.00W
FIRNI,493512.00N,115822.00W
FIRON,455036.00N,744259.00W
FLEUR,465918.00N,702746.00W
FLINE,4409.00N,795941.00W
FLOON,51018.00N,1204218.00W
FOBOP,45813.00N,73149.00W
FOCHE,49356.00N,1244748.00W
FOLDY,4935.00N,1204242.00W
FORKS,495001.98N,0970839.08W
FORTE,461649.00N,573936.00W
FOWEL,42365.00N,80930.00W
FOXXE,542911.00N,591718.00W
FRALK,465537.00N,805260.00W
FRANT,640638.00N,1250000.00W
FRANX,45158.00N,741228.00W
FRASE,491330.00N,1224712.00W
FRAZR,51370.00N,62430.00W
FREND,551737.00N,1222954.00W
FRENN,455560.00N,661112.00W
FROSS,48912.00N,611427.00W
FRUMP,433018.00N,81392.00W
FUDGY,52137.00N,11000.00W
FYNCH,45624.00N,751123.00W
GABAL,50028.00N,123131.00W
GABET,532748.00N,1132454.00W
GABIN,495643.00N,1205752.00W
GABOL,50551.00N,114117.00W
GABRO,631338.00N,11000.00W
GABUL,591358.00N,13000.00W
GABVO,49451.00N,1215047.00W
GADAL,47548.00N,71442.00W
GADEB,621754.00N,114253.00W
GADRU,52820.00N,9000.00W
GAHAM,621458.00N,14100.00W
GARRE,495421.00N,1222757.00W
GELLE,523231.00N,114858.00W
GELLS,512054.00N,722958.00W
GERTY,49120.00N,93300.00W
GIBAC,49296.00N,1234252.00W
GIBBY,473645.00N,525955.00W
GLACE,501121.00N,1222552.00W
GLACR,493938.71N,1250818.84W
GOATE,492651.00N,119533.00W
GOEFR,49294.00N,122491.00W
GOKPE,483256.40N,0934521.63W
GOLFE,521550.00N,63266.00W
GOMAC,421840.00N,825432.00W
GONNE,415023.00N,0820303.00W
GONUK,541834.00N,1131960.00W
GOOSS,424050.00N,82014.00W
GOPEV,434360.00N,785260.00W
GORAK,49570.00N,104760.00W
GOREK,604410.00N,114535.00W
GOROV,591821.00N,13302.00W
GOSAR,444810.00N,772756.00W
GOSIN,485512.00N,542550.00W
GOTOL,594448.00N,1184716.00W
GOVAB,49360.00N,99580.00W
GOVAT,483212.00N,784625.00W
GOVIR,44333.00N,773746.00W
GOVIT,493240.00N,954856.00W
GRAMP,49400.00N,8000.00W
GRAND,554212.00N,8000.00W
GRASE,494512.00N,1195110.00W
GRAVO,5000.00N,874060.00W
GRAYY,454447.00N,564234.00W
GRETO,513240.00N,1131250.00W
GRIBS,61300.00N,6300.00W
GRIBY,474518.00N,861536.00W
GRIMS,43748.00N,794353.00W
GROME,584454.00N,1145954.00W
GRONG,532232.00N,1141920.00W
GRUPI,43520.00N,585018.00W
GUBAK,6000.00N,8700.00W
GUCHY,502710.00N,120322.00W
GUNN,450510.14N,0644117.30W
GUPEY,51420.00N,134150.00W
HADAR,422154.00N,82292.00W
HADER,49815.00N,1232943.00W
HAGLE,511234.00N,100958.00W
HALAM,543012.00N,133144.00W
HALBY,431120.00N,805231.00W
HANDA,50541.00N,1144747.00W
HANRY,543623.00N,131536.00W
HANSI,5116.00N,1141812.00W
HARAS,491644.00N,122251.00W
HARBO,473542.00N,532121.00W
HARUN,664629.00N,12500.00W
HAVOK,430115N,0813612W
HAYDN,502759.00N,1141255.00W
HEADD,482023.00N,705047.00W
HECKK,521314.00N,0532206.00W
HEDDE,49107.00N,122535.00W
HEGEL,423456.00N,812858.00W
HEIMS,434040.00N,811525.00W
HEIRE,50541.00N,123352.00W
HELMO,56052.00N,745959.00W
HEMMI,45336.00N,553157.00W
HEMPP,513129.00N,1143657.00W
HENDY,51715.00N,741441.00W
HENRI,51134.00N,1134542.00W
HENSL,433136.00N,813312.00W
HIDIG,444044.00N,64113.00W
HIDIN,544929.00N,120051.00W
HIMEZ,415058.00N,82124.00W
HINGE,572432.00N,645957.00W
HITOR,4956.00N,61420.00W
HODEV,484402.75N,0933857.15W
HOGAR,592118.00N,1163939.00W
HOKKE,45343.00N,743231.00W
HOSTE,45442.00N,781529.00W
HOWSE,54948.00N,1201011.00W
HOWZR,50324.00N,116164.00W
HUH10,490007.20N,1224901.58W
HUH3,485942.45N,1223426.25W
HUMEK,502116.00N,1191819.00W
HUMUS,45429.00N,74429.00W
HUSAR,51419.00N,1124138.00W
HUTON,535125.00N,1214124.00W
HUXLY,445439.00N,753817.00W
HWTCC,544151.00N,1311337.00W
ICOLA,501010.00N,120218.00W
IDNEY,483832.00N,1232416.00W
IGRUG,465246.25N,0711103.84W
IGSEL,581339.00N,12500.00W
IGTAD,452943.5127N,0752906.9113W
IGTAS,45450.00N,625936.00W
IGVER,432248.00N,81826.00W
IKBAK,494634.00N,1212338.00W
IKBOG,441038.00N,771445.00W
IKBUN,48480.00N,56356.00W
IKDON,494940.836N,0971450.096W
IKDUN,43582.00N,77473.00W
IKMAN,62300.00N,6300.00W
IKMOR,474156.09N,0525303.71W
IKMUS,53597.00N,123352.00W
IKNAL,581551.00N,67435.00W
IKNAR,471135.00N,74931.00W
ILATU,61358.00N,1221960.00W
ILERU,473659.81N,0523603.83W
ILIBA,443460.00N,763760.00W
ILIDI,5415.00N,944936.00W
ILISI,54392.00N,1102359.00W
ILISU,50216.00N,1055319.00W
ILIXU,44160.00N,77240.00W
ILUGO,501915.00N,732247.00W
IMAMO,485948.00N,544728.00W
INHAM,490306.00N,1252730.00W
IRBIM,583912.00N,0603157.44W
IRGIP,600239.08N,1341030.50W
IRLAB,540058.20N,1224212.60W
IRLAV,575830.00N,0800000.00W
ISTON,430912.92N,0790412.04W
ITGAV,510000.00N,1320000.00W
ITNOT,614318.00N,1133826.80W
JAGIT,605734.00N,1410000.00W
JAINE,493105.00N,1241719.00W
JANEK,494033.40N,1222935.53W
JANOA,445746.00N,0780915.00W
JAROM,441000.00N,0545300.00W
JARRO,480000.18N,0832559.62W
JARVS,424422.17N,0800734.34W
JEBBY,430420.00N,0575205.00W
JEDII,530500.00N,1125630.00W
JELCO,604200.00N,0670000.00W
JESRU,745648.00N,1410000.00W
JEVON,530925.20N,1132049.20W
JFN54,415341.75N,0815621.05W
JIBNA,415453.00N,0822430.00W
JIGGS,472512.00N,0594812.00W
JIMMS,511930.00N,1311748.00W
JINNA,545630.00N,1181536.00W
JLGON,423446.25N,0812551.86W
JNB39,433938.50N,0793723.51W
JOFFS,454448.00N,0820024.00W
JORJA,491343.20N,1233236.60W
JOVIE,541000.38N,0665957.47W
JOVIN,491144.31N,0952233.45W
JOWEN,540500.00N,1343000.00W
JULET,724542.00N,0683930.00W
JULLY,492830.00N,1190624.00W
